date_start,date_stop,work_time,note
2014-09-11 11:07:37,2014-09-11 18:07:39,0:00:01,Testing
2014-09-11 14:25:07,2014-09-11 15:06:43,0:41:36,PZ Problem z przychodzacymi
2014-09-11 16:37:21,2014-09-11 17:41:11,1:03:50,FAX (czesc 1)
2014-09-12 00:03:11,2014-09-12 01:36:12,1:33:01,FAX (Prefixes)
2014-09-12 17:46:41,2014-09-12 18:27:50,0:41:08,Testy faxu z Lovo
2014-09-15 20:58:52,2014-09-15 22:11:14,1:12:21,Checking Optolan routes + checking ukraine routes ;D
2014-09-18 12:14:34,2014-09-18 12:56:15,0:41:41,Pomoc z Linksysem
2014-09-23 14:27:15,2014-09-23 14:51:24,0:24:09,Ustawianie telefonu i konfiguracja routow na sigma
2014-09-26 03:08:29,2014-09-26 04:34:05,1:25:36,Shellshock 
2014-10-10 23:04:47,2014-10-10 23:36:59,0:32:12,Fixing SSH + Konsultacje nt PBX
2014-10-12 13:07:18,2014-10-12 14:33:56,1:26:37,Asterisk+FreePBX - instalka. Migracja kont i didow + ustawianie FPBX. czesc 1.
2014-10-12 16:11:29,2014-10-12 18:06:19,1:54:49,Nowa Zegluga cd. Hints+RingGroups+Firewall+Testy
2014-10-12 23:01:22,2014-10-12 23:29:24,0:28:02,Konfiguracja firewalla
2014-10-12 23:40:00,2014-10-12 23:45:00,0:05:00,szybkie sprawdzenie wszystkiego.
2014-10-15 21:41:20,2014-10-15 01:30:15,3:48:55,Ustawianie nowej zeglugi
2014-10-20 16:00:00,2014-10-20 18:20:15,2:20:15,VideoCalls - Testy
2014-10-20 17:42:21,2014-10-20 18:30:11,0:47:50,Ustawianie switcha i inne takie (fb)
2014-10-22 18:00:05,2014-10-22 21:15:10,3:15:05,Testy kamerek
2014-10-30 23:31:36,2014-10-31 00:09:49,0:38:13,
